q/kF, < omega_p(q)**3 >/wp(0)**3, Sum rule/wp(0)**3, < (omega/wp(0))**3*S > - SR
0.01,9.514980296415851e-06,1.0627680062972248e-05,-1.112699766556397e-06
0.02,4.2132511824903866e-05,4.248642621799121e-05,-3.539143930873453e-07
0.03,9.566438516520906e-05,9.555138968691255e-05,1.1299547829651693e-07
0.04,0.00017005433559933594,0.00016981848356954331,2.3585202979262642e-07
0.05,0.0002656768710422575,0.0002652915163172125,3.8535472504500935e-07
0.060000000000000005,0.0003825182637436697,0.0003819789136847234,5.393500589462698e-07
0.06999999999999999,0.0005205538995644178,0.0005198955940510272,6.583055133906881e-07
0.08,0.0006797714772733293,0.0006790832650863771,6.882121869521357e-07
0.09,0.0008601401966110821,0.0008596221206010688,5.180760100133037e-07
0.09999999999999999,0.0010616358632259794,0.0010615685084194057,6.735480657374046e-08
0.11,0.0012842275812528163,0.0012846732453809123,-4.456641280960096e-07
0.12,0.0015278809962290252,0.0015286597498793126,-7.787536502874663e-07
0.13,0.0017925563095180404,0.0017936893405934027,-1.1330310753622855e-06
0.14,0.002078210510367562,0.0020797436116563716,-1.5331012888095477e-06
0.15000000000000002,0.002384794675319051,0.002387034804446182,-2.240129127131004e-06
0.16,0.0027122556860636336,0.0027153705819667378,-3.1148959031041153e-06
0.17,0.0030605374196543164,0.0030649408112656575,-4.403391611341057e-06
0.18000000000000002,0.0034295813971191957,0.0034359076690201715,-6.326271900975768e-06
0.19,0.003819335026774665,0.00382831722399103,-8.982197216365027e-06
0.2,0.004229730441682469,0.0042422636499649296,-1.2533208282460191e-05
0.21000000000000002,0.004660708480403179,0.0046773088773775714,-1.6600396974392022e-05
0.22,0.005112204065466406,0.005133493249680303,-2.1289184213896598e-05
0.23,0.005584143527549239,0.005610717067096051,-2.6573539546811964e-05
0.24000000000000002,0.006076465656392645,0.006109169505111304,-3.2703848718658966e-05
0.25,0.006589083078489546,0.006736799692942915,-0.0001477166144533684
0.26,0.007121928308091473,0.007288331060494419,-0.0001664027524029459
0.27,0.007674903363829997,0.007862274728774817,-0.00018737136494482044
0.28,0.008247934238411506,0.008458495915638659,-0.00021056167722715256
0.29000000000000004,0.008840912190478563,0.009077720643059317,-0.00023680845258075393
0.3,0.009453757107395648,0.009718934383398003,-0.00026517727600235477
0.31,0.010086359716363538,0.010379945614116568,-0.0002935858977530306
0.32,0.01073860440233367,0.011058653429699179,-0.0003200490273655085
0.33,0.011410402955052882,0.011759561535113892,-0.0003491585800610101
0.34,0.012101632814118808,0.012477436388023764,-0.00037580357390495575
