q/kF, < omega_p(q)**3 >/wp(0)**3, Sum rule/wp(0)**3, < (omega/wp(0))**3*S > - SR
0.01,2.403692432440373e-05,1.9412461977487762e-05,4.6244623469159695e-06
0.02,7.769048133114828e-05,7.777460287150286e-05,-8.412154035458447e-08
0.03,0.00017469599197744465,0.00017468740285685362,8.589120591032205e-09
0.04,0.00031054024065209736,0.00031078418405681556,-2.4394340471820073e-07
0.05,0.0004852032414056411,0.0004856793776882051,-4.7613628256396945e-07
0.060000000000000005,0.0006986640854111881,0.0006996632544107501,-9.991689995619661e-07
0.06999999999999999,0.0009509182223235684,0.0009528322740144883,-1.9140516909198777e-06
0.08,0.0012419591698538894,0.0012444429261588117,-2.4837563049222907e-06
0.09,0.0015717820295528461,0.001573811756205081,-2.0297266522348745e-06
0.09999999999999999,0.0019403763089788138,0.001939692278691687,6.840302871269008e-07
0.11,0.0023477373996891888,0.002343580663828306,4.156735860882596e-06
0.12,0.00279385535049451,0.002774347599072918,1.9507751421592254e-05
0.13,0.0032787213103323523,0.0032531734341049363,2.554787622741604e-05
0.14,0.0038023259727600995,0.0037679452194907853,3.43807532693142e-05
0.15000000000000002,0.004364664036373932,0.004320361889440427,4.43021469335057e-05
0.16,0.0049657223539288356,0.004921761369363121,4.396098456571455e-05
0.17,0.005605496340689994,0.005549495704224022,5.6000636465972434e-05
0.18000000000000002,0.0062839775405014115,0.006220372484470355,6.36050560310561e-05
0.19,0.007001150472220388,0.0069199916239575535,8.115884826283455e-05
0.2,0.00775701974226832,0.007654884419155907,0.00010213532311241329
0.21000000000000002,0.008551561854578851,0.008428189140718991,0.00012337271385986018
0.22,0.009384774727670226,0.009241647172080376,0.00014312755558985
0.23,0.01025664897564579,0.010048624892575835,0.0002080240830699548
0.24000000000000002,0.011167174723952508,0.010923934872370969,0.00024323985158153892
0.25,0.012116341418240344,0.011839357186262073,0.0002769842319782709
0.26,0.013104150660878933,0.012785372296541614,0.00031877836433731946
0.27,0.014130564806939083,0.013765565817802642,0.0003649989891364412
0.28,0.01519559711742588,0.014779476735110883,0.00041612038231499636
0.29000000000000004,0.01629923537278429,0.015839271123729657,0.0004599642490546313
0.3,0.01744143107863362,0.0170969569029665,0.0003444741756671206
0.31,0.01862219882944026,0.01819036169744523,0.0004318371319950304
0.32,0.019841521236698762,0.019204573036791617,0.0006369481999071447
0.33,0.02109935812538237,0.020394002163203244,0.0007053559621791258
0.34,0.02239570719245978,0.021616483815376304,0.000779223377083478
0.35000000000000003,0.023730522512060814,0.022871717929768436,0.0008588045822923787
0.36000000000000004,0.025103801622168718,0.02419823850359705,0.000905563118571668
0.37,0.026515520322706144,0.025571175494050854,0.00094434482865529
0.38,0.027965626341679633,0.026917832816197522,0.001047793525482111
0.39,0.02945412045745914,0.028291843461896803,0.0011622769955623377
